# f1_exp_050_120_pp.dat
#
# Z = 50, A = 120
# No. of entries: 71
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: S. Bassauer, P. von Neumann-Cosel
#    E         dE      f           df
     6.000     0.200   7.620E-08   1.383E-08
     6.200     0.200   1.066E-07   1.172E-08
     6.400     0.200   1.398E-07   1.242E-08
     6.600     0.200   1.212E-07   1.077E-08
     6.800     0.200   1.523E-07   1.328E-08
     7.000     0.200   1.674E-07   1.445E-08
     7.200     0.200   1.745E-07   1.558E-08
     7.400     0.200   1.650E-07   1.391E-08
     7.600     0.200   1.752E-07   1.492E-08
     7.800     0.200   1.990E-07   1.820E-08
     8.000     0.200   2.315E-07   1.891E-08
     8.200     0.200   2.343E-07   1.967E-08
     8.400     0.200   2.238E-07   1.929E-08
     8.600     0.200   2.196E-07   1.998E-08
     8.800     0.200   2.262E-07   2.079E-08
     9.000     0.200   2.322E-07   2.003E-08
     9.200     0.200   2.195E-07   2.044E-08
     9.400     0.200   2.262E-07   2.192E-08
     9.600     0.200   2.214E-07   2.384E-08
     9.800     0.200   2.250E-07   2.418E-08
    10.000     0.200   2.404E-07   2.579E-08
    10.200     0.200   2.566E-07   2.797E-08
    10.400     0.200   2.488E-07   2.712E-08
    10.600     0.200   2.663E-07   2.544E-08
    10.800     0.200   2.823E-07   2.647E-08
    11.000     0.200   3.078E-07   3.069E-08
    11.200     0.200   3.557E-07   3.273E-08
    11.400     0.200   3.692E-07   3.513E-08
    11.600     0.200   3.945E-07   3.811E-08
    11.800     0.200   4.337E-07   4.082E-08
    12.000     0.200   4.675E-07   4.492E-08
    12.200     0.200   4.826E-07   4.768E-08
    12.400     0.200   5.543E-07   5.221E-08
    12.600     0.200   6.024E-07   5.506E-08
    12.800     0.200   6.637E-07   6.028E-08
    13.000     0.200   6.950E-07   6.531E-08
    13.200     0.200   7.574E-07   6.971E-08
    13.400     0.200   8.409E-07   8.081E-08
    13.600     0.200   9.704E-07   8.916E-08
    13.800     0.200   1.066E-06   9.731E-08
    14.000     0.200   1.138E-06   1.057E-07
    14.200     0.200   1.241E-06   1.165E-07
    14.400     0.200   1.337E-06   1.243E-07
    14.600     0.200   1.411E-06   1.330E-07
    14.800     0.200   1.481E-06   1.460E-07
    15.000     0.200   1.503E-06   1.429E-07
    15.200     0.200   1.556E-06   1.493E-07
    15.400     0.200   1.538E-06   1.596E-07
    15.600     0.200   1.507E-06   1.538E-07
    15.800     0.200   1.455E-06   1.476E-07
    16.000     0.200   1.490E-06   1.506E-07
    16.200     0.200   1.421E-06   1.529E-07
    16.400     0.200   1.381E-06   1.429E-07
    16.600     0.200   1.299E-06   1.422E-07
    16.800     0.200   1.204E-06   1.306E-07
    17.000     0.200   1.089E-06   1.250E-07
    17.200     0.200   1.018E-06   1.015E-07
    17.400     0.200   9.679E-07   1.090E-07
    17.600     0.200   8.979E-07   9.059E-08
    17.800     0.200   7.629E-07   8.296E-08
    18.000     0.200   7.189E-07   7.280E-08
    18.200     0.200   6.337E-07   5.948E-08
    18.400     0.200   5.102E-07   4.689E-08
    18.600     0.200   4.197E-07   3.829E-08
    18.800     0.200   4.864E-07   4.610E-08
    19.000     0.200   4.551E-07   4.404E-08
    19.200     0.200   4.580E-07   4.479E-08
    19.400     0.200   4.659E-07   4.471E-08
    19.600     0.200   3.047E-07   2.701E-08
    19.800     0.200   4.027E-07   3.784E-08
    20.000     0.200   2.941E-07   2.654E-08
